iter,workload,rt
1447,1640,401.23
1448,1510,399.82
1449,1430,378.31
1450,1340,383.3
1451,1470,364.34
1452,1450,397.74
1453,1310,393.44
1454,1420,384.7
1455,1290,404.43
1456,1140,392.84
1457,1670,421.68
1458,1670,400.81
1459,1420,383.02
1460,1250,374.25
1461,1440,397.64
1462,1390,373.72
1463,1470,420.14
1464,1300,401.14
1465,1310,424.76
1466,1360,397.76
1467,1730,402.59
1468,1380,404.07
1469,1560,387.38
1470,1130,392.73
1471,1410,402.42
1472,1610,402.39
1473,1280,415.29
1474,1650,401.42
1475,1210,388.34
1476,1410,403.83
1477,1680,404.04
1478,1580,403.23
1479,1470,381.53
1480,1240,385.19
1481,1660,391.37
1482,1430,402.91
1483,1570,397.76
1484,1390,393.47
1485,1640,387.31
1486,1490,399.42
1487,1610,375.67
1488,1230,406.83
1489,1640,407.06
1490,1370,397.89
1491,1530,395.43
1492,1420,399.87
1493,1530,399.88
1494,1610,400.4
1495,1410,383.34
1496,1640,396.72
1497,1670,382.54
1498,1380,381.27
1499,1690,382.48
1500,1290,381.93
1501,1900,387.82
1502,1320,395.04
1503,1530,391.87
1504,1320,396.78
1505,1520,395.98
1506,1670,415.41
1507,1390,383.63
1508,1370,387.88
1509,1700,403.68
1510,1610,390.07
1511,1260,382.76
1512,1620,404.37
1513,1570,388.92
1514,1250,423.95
1515,1470,391.38
1516,1650,391.74
1517,1240,393.71
1518,1520,413.15
1519,1580,399.83
1520,1650,382.14
1521,1490,387
1522,1360,389.57
1523,1270,381.05
1524,1930,403.47
1525,1330,392.48
1526,1320,394.32
1527,1560,378.68
1528,1610,386.39
1529,1470,399.86
1530,1420,380.16
1531,1410,390.61
1532,1420,384.09
1533,1660,399.95
1534,1370,408.28
1535,1320,396.26
1536,1370,389.04
1537,1580,404.38
1538,1660,396.93
1539,1420,396.84
1540,1240,372.34
1541,1650,382.28
1542,1530,401.62
1543,1330,400.66
1544,1500,397.06
1545,1460,375.9
1546,1500,392.66
1547,1040,406.17
1548,1560,393.08
1549,1600,407.58
1550,1270,397.68
1551,1300,409.34
1552,1500,383.26
1553,1640,404.17
1554,1420,394.47
1555,1120,381.17
1556,1620,380.19
1557,1500,388.6
1558,1360,377.85
1559,1470,373.28
1560,1440,382.37
1561,1340,377.91
1562,1560,395.48
1563,1320,403.74
1564,1380,395.44
1565,1820,383.95
1566,1250,398.11
1567,1150,376.25
1568,1580,397.22
1569,1410,389.61
1570,1320,420.4
1571,1170,387.4
1572,1490,403.35
1573,1270,423.36
1574,1590,427.67
1575,1170,410.79
1576,1200,393.05
1577,1570,399.65
1578,1310,391.19
1579,1030,424.86
1580,1710,405.97
1581,1430,392.31
1582,1310,406.5
1583,1420,375.51
1584,1240,386.1
1585,1610,403.56
1586,1280,378.12
1587,1170,399.08
1588,1580,401.53
1589,1480,385.12
1590,1240,399.98
1591,1140,380.51
1592,1340,400.47
1593,1310,441.03
1594,1610,409.61
1595,1070,398.7
1596,1300,411.66
1597,1560,376.21
